order_id,product_id,price,customer_id,product_category_name,review_score
96b7f5a470ca6a58f261be1af286e4d9,ddceb6eef6af67e9fbbd4c148dbe5fd9,209.99,b35a12036c527e0cc8e2310bc04c14a4,cool_stuff,5
587e32dd528769d669d539531d32aeb5,810e2944bca9850b934e1570ba372e7d,78.0,0af8a25fb0b6f833724bb5818275807b,moveis_decoracao,1
8bfc859f734def7a579d24fe9b618da3,f348ae21168771dfd5b8081e387b4f6b,23.0,5b31d1ba9e2b08086f398b79477962d7,utilidades_domesticas,5
0988e6e21a5bd6dee0c95d3a85970d98,2480cf865df7d91234cf0ea77e8bd68c,210.0,fb2a6ee3f93f4a4d434cca41ba6d919c,brinquedos,5
7802207732bf2bf55f1994667489339b,ea9fd984ad61025b0fc6a2a99042aa49,50.0,9b4f2198d678fac1f1eff05da5061c44,eletronicos,5
707ce3d3698a90d1ab9d9c2dc47223c2,2948658cb6abc82847412be7201bfc4c,110.0,f4a9f3a779e9783f7c992f5723bbe3d3,beleza_saude,3
06b8cdbbc86d64ea69af76036c523827,d2bea3c01e172037caa99b2d138f39d0,22.9,9f1ad46564d73464434b221ba6ba08f4,eletroportateis,5
ffbcdac3da2c2f23b699666818b0d38c,cce55549bb816a12eba7ddfd637a961d,78.0,fe67d071eefb7f48949cbe89515cd672,relogios_presentes,2
138922735946aa65c66ca7e7bd4e5980,c6336fa91fbd87c359e44f5dca5a90ed,39.0,90d02fd307b005397290a57df5f0c986,esporte_lazer,5
2ab10ab526351fd3b05219e9eb4f7d9f,d6c69817b519edddbf1b289631b7160e,349.97,5038412e993abfa85f57ec66af30e303,perfumaria,5
5a3bccb60104b1251c6a39e051c428ba,0bcc3eeca39e1064258aa1e932269894,49.9,e93d4c22a2f45aaaa547188898e28ccb,ferramentas_jardim,4
adc2f0c9fd838d820339f8220c1adf08,0152f69b6cf919bcdaf117aa8c43e5a2,17.9,d16ddf649debf65863ac0f1738584de9,cama_mesa_banho,5
51f5cd4115244a4860823a80bea0307e,89b121bee266dcd25688a1ba72eefb61,79.9,d95e632cc60a0edb70179c336f056582,informatica_acessorios,1
8f705decc6b7168523d676183f61b950,bdc3291ab242ec1effc8eb0987850268,26.9,bafb9a285fb5972062ebd25c6403c111,eletronicos,5
470ae997eff151effb3503add146880b,254689a977285f8dd17c32b30870e933,889.0,19feb037e21679bbaa42334e93b3b9cc,bebes,5
3e50ccb3e4c2558e4235db553f8dc2b1,a8075470f960215ffb67624782f80fec,99.0,94b1e925c0b906a75bd2464a24243db3,ferramentas_jardim,5
